timestamp,lap time,stroke count,stroke type,data source
2026-04-07T07:23:03Z,00:00:28.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T08:05:46Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T08:13:53Z,00:00:19.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T09:51:53Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:15:42Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:18:25Z,00:00:32.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:19:40Z,00:00:51.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:35:37Z,00:00:39.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:40:52Z,00:00:49.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:54:06Z,00:00:29.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T10:56:14Z,00:00:28.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:03:19Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:04:17Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:15:32Z,00:00:34.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:34:16Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:34:57Z,00:00:28.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:36:00Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:38:07Z,00:00:29.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:38:41Z,00:00:24.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T11:39:25Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T12:25:35Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T13:39:44Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T13:40:25Z,00:00:27.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T13:41:12Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T15:04:35Z,00:00:43.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T15:05:22Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T15:06:27Z,00:00:10.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T15:06:40Z,00:00:12.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:04:10Z,00:00:22.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:04:40Z,00:00:59.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:09:59Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:12:48Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:14:47Z,00:00:15.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:16:45Z,00:00:18.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:19:20Z,00:00:17.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:20:28Z,00:00:07.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:21:18Z,00:00:21.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T06:22:21Z,00:00:14.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T08:01:37Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T09:08:11Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T09:12:00Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T09:13:26Z,00:00:42.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T09:16:13Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T09:16:38Z,00:00:23.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T09:20:38Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T10:38:53Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T10:40:32Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T11:26:36Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T11:57:36Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-08T16:20:15Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T05:26:51Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T05:28:53Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T05:29:58Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T05:50:42Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T05:51:13Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T06:12:37Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T06:22:16Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T06:56:41Z,00:00:23.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T06:59:09Z,00:00:12.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T07:01:10Z,00:00:15.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T07:03:26Z,00:00:17.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T07:05:36Z,00:00:16.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T07:07:41Z,00:00:20.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T07:08:42Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T09:49:34Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T10:15:00Z,00:00:51.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T10:16:28Z,00:00:23.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T10:16:54Z,00:00:07.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T10:17:13Z,00:00:26.000,18,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T11:25:51Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T11:29:45Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T13:44:27Z,00:00:33.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T13:45:08Z,00:00:13.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T13:45:55Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T13:46:15Z,00:00:30.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T13:47:07Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-09T14:01:30Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
